last,first,pos,num,comb,hits,oz_hits,nz_hits,dz_hits,p1_hits,p2_hits,p3_hits,ot_hits,5v5_hits,ev_hits,pp_hits,sh_hits,hits_taken,oz_hits_t,nz_hits_t,dz_hits_t,p1_hits_t,p2_hits_t,p3_hits_t,ot_hits_t,5v5_hits_t,ev_hits_t,pp_hits_t,sh_hits_t,g_hit_5_5v5,b_hit_5_5v5,g_hit_10_5v5,b_hit_10_5v5,g_hit_5_ev,b_hit_5_ev,g_hit_10_ev,b_hit_10_ev,g_hit_5_pp,b_hit_5_pp,g_hit_10_pp,b_hit_10_pp,g_hit_5_sh,b_hit_5_sh,g_hit_10_sh,b_hit_10_sh
GILBERT,TOM,D,77,TOM GILBERT,29.0,21.0,0.0,8.0,10.0,10.0,9.0,0.0,28.0,28.0,0.0,1.0,140.0,26.0,1.0,113.0,53.0,48.0,39.0,0.0,136.0,138.0,0.0,2.0,28.0,0.0,28.0,0.0,28.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
HEDMAN,VICTOR,D,77,VICTOR HEDMAN,62.0,48.0,4.0,10.0,20.0,29.0,13.0,0.0,57.0,58.0,0.0,4.0,139.0,30.0,5.0,104.0,64.0,45.0,30.0,0.0,127.0,130.0,8.0,1.0,57.0,0.0,57.0,0.0,58.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0
OSHIE,T.J.,R,77,T.J. OSHIE,134.0,100.0,7.0,27.0,57.0,43.0,34.0,0.0,125.0,127.0,5.0,2.0,120.0,18.0,3.0,99.0,45.0,39.0,36.0,0.0,101.0,104.0,14.0,2.0,124.0,1.0,124.0,1.0,126.0,1.0,126.0,1.0,5.0,0.0,5.0,0.0,2.0,0.0,2.0,0.0
BELLEMARE,PIERRE-EDOUARD,L,78,PIERRE-EDOUARD BELLEMARE,65.0,46.0,4.0,15.0,17.0,29.0,19.0,0.0,60.0,61.0,0.0,4.0,107.0,22.0,6.0,79.0,34.0,36.0,36.0,1.0,98.0,100.0,0.0,7.0,60.0,0.0,60.0,0.0,61.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0
MARKOV,ANDREI,D,79,ANDREI MARKOV,57.0,43.0,2.0,12.0,22.0,13.0,22.0,0.0,44.0,47.0,1.0,9.0,87.0,20.0,3.0,64.0,38.0,29.0,20.0,0.0,78.0,82.0,4.0,1.0,42.0,2.0,42.0,2.0,45.0,2.0,45.0,2.0,1.0,0.0,1.0,0.0,9.0,0.0,9.0,0.0
FERLAND,MICHEAL,L,79,MICHEAL FERLAND,207.0,167.0,3.0,37.0,85.0,63.0,59.0,0.0,197.0,198.0,8.0,1.0,59.0,15.0,1.0,43.0,25.0,16.0,18.0,0.0,57.0,57.0,2.0,0.0,197.0,0.0,195.0,2.0,198.0,0.0,196.0,2.0,8.0,0.0,8.0,0.0,1.0,0.0,1.0,0.0
COLBORNE,JOE,C,8,JOE COLBORNE,122.0,95.0,3.0,24.0,59.0,41.0,22.0,0.0,116.0,120.0,2.0,0.0,97.0,19.0,4.0,74.0,35.0,30.0,32.0,0.0,86.0,88.0,8.0,1.0,116.0,0.0,116.0,0.0,120.0,0.0,120.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
PAVELSKI,JOE,C,8,JOE PAVELSKI,147.0,108.0,7.0,32.0,52.0,40.0,52.0,3.0,127.0,135.0,9.0,3.0,92.0,26.0,5.0,61.0,33.0,31.0,26.0,2.0,81.0,85.0,6.0,1.0,127.0,0.0,125.0,2.0,135.0,0.0,133.0,2.0,9.0,0.0,9.0,0.0,3.0,0.0,3.0,0.0
RIEDER,TOBIAS,C,8,TOBIAS RIEDER,54.0,46.0,0.0,8.0,33.0,12.0,8.0,1.0,49.0,52.0,1.0,1.0,127.0,31.0,6.0,90.0,50.0,42.0,35.0,0.0,106.0,109.0,14.0,4.0,49.0,0.0,49.0,0.0,52.0,0.0,52.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
DUMOULIN,BRIAN,D,8,BRIAN DUMOULIN,77.0,65.0,2.0,10.0,23.0,32.0,22.0,0.0,73.0,74.0,0.0,3.0,200.0,35.0,3.0,162.0,77.0,74.0,49.0,0.0,193.0,197.0,1.0,2.0,73.0,0.0,73.0,0.0,74.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0
TANEV,CHRISTOPHER,D,8,CHRISTOPHER TANEV,18.0,12.0,1.0,5.0,6.0,7.0,5.0,0.0,16.0,17.0,0.0,1.0,163.0,32.0,3.0,128.0,77.0,40.0,46.0,0.0,153.0,153.0,2.0,8.0,16.0,0.0,16.0,0.0,17.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
SCHLEMKO,DAVID,D,8,DAVID SCHLEMKO,47.0,35.0,1.0,11.0,20.0,12.0,15.0,0.0,40.0,40.0,2.0,5.0,116.0,16.0,3.0,97.0,39.0,42.0,35.0,0.0,109.0,109.0,2.0,5.0,40.0,0.0,40.0,0.0,40.0,0.0,40.0,0.0,2.0,0.0,2.0,0.0,5.0,0.0,5.0,0.0
DOUGHTY,DREW,D,8,DREW DOUGHTY,125.0,104.0,2.0,19.0,52.0,46.0,25.0,2.0,106.0,111.0,3.0,11.0,155.0,24.0,4.0,127.0,62.0,49.0,42.0,2.0,137.0,142.0,7.0,6.0,105.0,1.0,105.0,1.0,110.0,1.0,110.0,1.0,3.0,0.0,3.0,0.0,11.0,0.0,11.0,0.0
REINHART,GRIFFIN,D,8,GRIFFIN REINHART,62.0,51.0,0.0,11.0,23.0,19.0,20.0,0.0,55.0,58.0,0.0,4.0,42.0,15.0,0.0,27.0,13.0,16.0,13.0,0.0,41.0,41.0,0.0,1.0,55.0,0.0,55.0,0.0,58.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0
TROUBA,JACOB,D,8,JACOB TROUBA,144.0,108.0,1.0,35.0,63.0,34.0,47.0,0.0,125.0,131.0,0.0,13.0,118.0,22.0,4.0,92.0,50.0,38.0,29.0,1.0,106.0,111.0,4.0,3.0,124.0,1.0,123.0,2.0,130.0,1.0,129.0,2.0,0.0,0.0,0.0,0.0,13.0,0.0,13.0,0.0
KLEIN,KEVIN,D,8,KEVIN KLEIN,117.0,85.0,5.0,27.0,43.0,40.0,34.0,0.0,103.0,106.0,2.0,9.0,96.0,11.0,2.0,83.0,41.0,29.0,26.0,0.0,92.0,92.0,1.0,3.0,103.0,0.0,103.0,0.0,106.0,0.0,106.0,0.0,2.0,0.0,2.0,0.0,9.0,0.0,9.0,0.0
GRANBERG,PETTER,D,8,PETTER GRANBERG,48.0,36.0,2.0,10.0,18.0,19.0,11.0,0.0,45.0,46.0,0.0,2.0,30.0,12.0,0.0,18.0,11.0,11.0,8.0,0.0,30.0,30.0,0.0,0.0,44.0,1.0,44.0,1.0,45.0,1.0,45.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0
OVECHKIN,ALEX,L,8,ALEX OVECHKIN,225.0,169.0,6.0,50.0,100.0,66.0,57.0,2.0,213.0,220.0,5.0,0.0,81.0,20.0,3.0,58.0,27.0,27.0,26.0,1.0,74.0,76.0,5.0,0.0,213.0,0.0,213.0,0.0,220.0,0.0,220.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
ABDELKADER,JUSTIN,L,8,JUSTIN ABDELKADER,207.0,169.0,2.0,36.0,73.0,70.0,60.0,4.0,177.0,184.0,11.0,12.0,138.0,23.0,5.0,110.0,48.0,44.0,46.0,0.0,119.0,122.0,9.0,7.0,177.0,0.0,177.0,0.0,184.0,0.0,184.0,0.0,11.0,0.0,11.0,0.0,12.0,0.0,12.0,0.0
SKILLE,JACK,R,8,JACK SKILLE,97.0,75.0,3.0,19.0,41.0,30.0,26.0,0.0,96.0,96.0,0.0,1.0,74.0,14.0,3.0,57.0,21.0,33.0,20.0,0.0,74.0,74.0,0.0,0.0,96.0,0.0,96.0,0.0,96.0,0.0,96.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
TENNYSON,MATT,D,80,MATT TENNYSON,23.0,16.0,0.0,7.0,9.0,7.0,7.0,0.0,22.0,22.0,0.0,1.0,54.0,10.0,2.0,42.0,19.0,23.0,12.0,0.0,52.0,52.0,1.0,1.0,22.0,0.0,22.0,0.0,22.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
