last,first,pos,num,comb,GP,TOI,TOI_5v5
EHLERS,NIKOLAJ,L,27,NIKOLAJ EHLERS,72.0,1159:16,947:06
MOEN,TRAVIS,L,27,TRAVIS MOEN,23.0,188:25,177:16
DONSKOI,JOONAS,R,27,JOONAS DONSKOI,76.0,1075:37,934:13
MOORE,DOMINIC,C,28,DOMINIC MOORE,80.0,1063:28,860:57
BRODZIAK,KYLE,C,28,KYLE BRODZIAK,76.0,821:11,678:41
CORMIER,PATRICE,C,28,PATRICE CORMIER,2.0,8:59,8:11
CAREY,PAUL,C,28,PAUL CAREY,4.0,39:53,39:12
GAUSTAD,PAUL,C,28,PAUL GAUSTAD,63.0,708:15,568:24
GIRGENSONS,ZEMGUS,C,28,ZEMGUS GIRGENSONS,71.0,1067:34,888:23
SEVERSON,DAMON,D,28,DAMON SEVERSON,72.0,1307:45,1102:39
COLE,IAN,D,28,IAN COLE,70.0,1206:42,993:01
ZIDLICKY,MAREK,D,28,MAREK ZIDLICKY,53.0,826:03,696:59
BEAULIEU,NATHAN,D,28,NATHAN BEAULIEU,64.0,1116:53,968:52
JOHNS,STEPHEN,D,28,STEPHEN JOHNS,14.0,249:37,232:38
STRACHAN,TYSON,D,28,TYSON STRACHAN,2.0,15:06,15:04
AGOZZINO,ANDREW,L,28,ANDREW AGOZZINO,9.0,77:03,74:27
WILSON,GARRETT,L,28,GARRETT WILSON,29.0,271:48,266:46
KORPIKOSKI,LAURI,L,28,LAURI KORPIKOSKI,71.0,988:34,764:06
BOYES,BRAD,R,28,BRAD BOYES,60.0,718:13,552:06
GIROUX,CLAUDE,R,28,CLAUDE GIROUX,78.0,1601:55,1081:21
POIRIER,EMILE,R,28,EMILE POIRIER,2.0,27:47,26:51
BJORKSTRAND,OLIVER,R,28,OLIVER BJORKSTRAND,12.0,191:43,161:09
NELSON,BROCK,C,29,BROCK NELSON,81.0,1280:04,1049:32
FERRARO,LANDON,C,29,LANDON FERRARO,68.0,721:20,621:36
DRAISAITL,LEON,C,29,LEON DRAISAITL,72.0,1298:18,1038:18
