last,first,pos,num,comb,GP,TOI,TOI_5v5
FROLIK,MICHAEL,R,67,MICHAEL FROLIK,64.0,1011:46,842:12
RAKELL,RICKARD,R,67,RICKARD RAKELL,72.0,1157:08,946:35
KARLSSON,MELKER,C,68,MELKER KARLSSON,65.0,879:02,756:49
HOFFMAN,MIKE,C,68,MIKE HOFFMAN,78.0,1368:18,1064:17
JAGR,JAROMIR,R,68,JAROMIR JAGR,79.0,1348:41,1089:49
COGLIANO,ANDREW,C,7,ANDREW COGLIANO,82.0,1183:24,987:11
MITCHELL,JOHN,C,7,JOHN MITCHELL,71.0,1081:46,852:39
TURRIS,KYLE,C,7,KYLE TURRIS,57.0,1122:34,840:02
CULLEN,MATT,C,7,MATT CULLEN,82.0,1138:11,870:59
CHIAROT,BEN,D,7,BEN CHIAROT,70.0,1012:03,941:26
SEABROOK,BRENT,D,7,BRENT SEABROOK,81.0,1847:52,1379:39
FORBORT,DEREK,D,7,DEREK FORBORT,14.0,154:38,143:51
KULIKOV,DMITRY,D,7,DMITRY KULIKOV,74.0,1556:33,1211:12
JOHNSON,JACK,D,7,JACK JOHNSON,60.0,1450:31,1062:29
MERRILL,JON,D,7,JON MERRILL,47.0,794:03,703:00
MARTIN,PAUL,D,7,PAUL MARTIN,78.0,1617:01,1365:29
MURPHY,RYAN,D,7,RYAN MURPHY,35.0,603:48,520:53
BRODIE,TJ,D,7,TJ BRODIE,70.0,1766:46,1333:18
PORTER,CHRIS,L,7,CHRIS PORTER,61.0,590:52,502:48
VEY,LINDEN,R,7,LINDEN VEY,41.0,645:49,505:26
RASMUSSEN,DENNIS,C,70,DENNIS RASMUSSEN,44.0,403:12,398:46
HOLTBY,BRADEN,G,70,BRADEN HOLTBY,,,
KORPISALO,JOONAS,G,70,JOONAS KORPISALO,,,
SUBBAN,MALCOLM,G,70,MALCOLM SUBBAN,,,
PEARSON,TANNER,L,70,TANNER PEARSON,79.0,1142:23,927:29
RENDULIC,BORNA,C,71,BORNA RENDULIC,3.0,22:35,22:02
LARKIN,DYLAN,C,71,DYLAN LARKIN,80.0,1322:53,1074:08
RODRIGUES,EVAN,C,71,EVAN RODRIGUES,2.0,23:30,21:04
MALKIN,EVGENI,C,71,EVGENI MALKIN,57.0,1104:10,807:30
NOLAN,JORDAN,C,71,JORDAN NOLAN,52.0,462:39,456:31
HANLEY,JOEL,D,71,JOEL HANLEY,10.0,159:59,137:21
MELCHIORI,JULIAN,D,71,JULIAN MELCHIORI,11.0,149:33,143:42
FOLIGNO,NICK,L,71,NICK FOLIGNO,72.0,1216:01,980:12
ATHANASIOU,ANDREAS,C,72,ANDREAS ATHANASIOU,37.0,333:39,302:26
PANARIN,ARTEMI,C,72,ARTEMI PANARIN,80.0,1480:52,1180:12
VATRANO,FRANK,C,72,FRANK VATRANO,39.0,463:20,440:03
BOBROVSKY,SERGEI,G,72,SERGEI BOBROVSKY,,,
HORNQVIST,PATRIC,R,72,PATRIC HORNQVIST,82.0,1381:52,1092:31
KOSMACHUK,SCOTT,R,72,SCOTT KOSMACHUK,8.0,92:16,88:17
TOFFOLI,TYLER,C,73,TYLER TOFFOLI,82.0,1419:39,1070:21
EMELIN,ALEXEI,D,74,ALEXEI EMELIN,72.0,1475:45,1247:29
DEMELO,DYLAN,D,74,DYLAN DEMELO,45.0,612:49,550:56
SLAVIN,JACCOB,D,74,JACCOB SLAVIN,63.0,1320:59,1076:01
CARLSON,JOHN,D,74,JOHN CARLSON,56.0,1327:17,955:40
BOROWIECKI,MARK,D,74,MARK BOROWIECKI,63.0,921:30,751:02
KING,DWIGHT,L,74,DWIGHT KING,47.0,678:33,583:56
REAVES,RYAN,R,75,RYAN REAVES,64.0,513:51,511:14
KHOKHLACHEV,ALEX,C,76,ALEX KHOKHLACHEV,5.0,51:16,51:14
VANDEVELDE,CHRIS,C,76,CHRIS VANDEVELDE,79.0,1070:27,863:50
DAUPHIN,LAURENT,C,76,LAURENT DAUPHIN,8.0,90:31,80:48
SKJEI,BRADY,D,76,BRADY SKJEI,7.0,124:08,100:15
SUBBAN,P.K.,D,76,P.K. SUBBAN,68.0,1791:36,1234:40
DE LEO,CHASE,C,77,CHASE DE LEO,2.0,18:50,17:24
CARTER,JEFF,C,77,JEFF CARTER,77.0,1415:54,1021:36
SGARBOSSA,MICHAEL,C,77,MICHAEL SGARBOSSA,1.0,8:21,8:21
KLEFBOM,OSCAR,D,77,OSCAR KLEFBOM,30.0,656:17,493:34
GILBERT,TOM,D,77,TOM GILBERT,45.0,758:43,652:34
HEDMAN,VICTOR,D,77,VICTOR HEDMAN,78.0,1799:10,1323:43
OSHIE,T.J.,R,77,T.J. OSHIE,80.0,1517:04,1104:04
BELLEMARE,PIERRE-EDOUARD,L,78,PIERRE-EDOUARD BELLEMARE,74.0,1003:27,777:52
MARKOV,ANDREI,D,79,ANDREI MARKOV,82.0,1953:08,1390:32
FERLAND,MICHEAL,L,79,MICHEAL FERLAND,71.0,895:29,789:20
COLBORNE,JOE,C,8,JOE COLBORNE,73.0,1106:13,903:53
PAVELSKI,JOE,C,8,JOE PAVELSKI,82.0,1623:38,1189:13
RIEDER,TOBIAS,C,8,TOBIAS RIEDER,82.0,1414:38,1014:23
DUMOULIN,BRIAN,D,8,BRIAN DUMOULIN,79.0,1492:11,1288:15
TANEV,CHRISTOPHER,D,8,CHRISTOPHER TANEV,69.0,1501:00,1156:08
SCHLEMKO,DAVID,D,8,DAVID SCHLEMKO,67.0,1248:11,956:22
DOUGHTY,DREW,D,8,DREW DOUGHTY,82.0,2297:28,1694:56
REINHART,GRIFFIN,D,8,GRIFFIN REINHART,29.0,524:10,455:18
TROUBA,JACOB,D,8,JACOB TROUBA,81.0,1787:05,1394:32
KLEIN,KEVIN,D,8,KEVIN KLEIN,69.0,1406:32,1174:29
GRANBERG,PETTER,D,8,PETTER GRANBERG,27.0,370:26,352:14
OVECHKIN,ALEX,L,8,ALEX OVECHKIN,79.0,1604:22,1184:10
ABDELKADER,JUSTIN,L,8,JUSTIN ABDELKADER,82.0,1511:43,1077:46
SKILLE,JACK,R,8,JACK SKILLE,74.0,653:36,625:51
TENNYSON,MATT,D,80,MATT TENNYSON,29.0,304:48,262:06
ELLER,LARS,C,81,LARS ELLER,79.0,1203:37,969:48
KESSEL,PHIL,C,81,PHIL KESSEL,82.0,1507:13,1131:00
HOSSA,MARIAN,R,81,MARIAN HOSSA,64.0,1104:23,831:22
MEDVEDEV,EVGENY,D,82,EVGENY MEDVEDEV,45.0,847:17,695:57
OESTERLE,JORDAN,D,82,JORDAN OESTERLE,17.0,367:24,290:41
FOLIGNO,MARCUS,L,82,MARCUS FOLIGNO,75.0,988:50,922:06
GOLDOBIN,NIKOLAY,R,82,NIKOLAY GOLDOBIN,9.0,100:40,100:04
BEAGLE,JAY,C,83,JAY BEAGLE,57.0,798:55,660:12
NIETO,MATT,L,83,MATT NIETO,67.0,881:41,782:32
NOSEK,TOMAS,L,83,TOMAS NOSEK,6.0,60:48,51:25
HEMSKY,ALES,R,83,ALES HEMSKY,75.0,982:35,816:14
GRABOVSKI,MIKHAIL,C,84,MIKHAIL GRABOVSKI,58.0,817:59,722:19
PERREAULT,MATHIEU,C,85,MATHIEU PERREAULT,71.0,1174:59,919:15
ELLIS,MORGAN,D,85,MORGAN ELLIS,3.0,26:52,25:45
MILLER,KEVAN,D,86,KEVAN MILLER,71.0,1352:56,1136:01
NIKITIN,NIKITA,D,86,NIKITA NIKITIN,11.0,162:50,156:53
BRICKLEY,CONNOR,L,86,CONNOR BRICKLEY,23.0,200:41,197:00
KULEMIN,NIKOLAY,L,86,NIKOLAY KULEMIN,81.0,1138:44,950:12
TERAVAINEN,TEUVO,L,86,TEUVO TERAVAINEN,78.0,1196:54,951:03
KUCHEROV,NIKITA,R,86,NIKITA KUCHEROV,77.0,1401:29,1068:07
CROSBY,SIDNEY,C,87,SIDNEY CROSBY,80.0,1637:17,1209:47
DAVIDSON,BRANDON,D,88,BRANDON DAVIDSON,51.0,979:01,778:34
BURNS,BRENT,D,88,BRENT BURNS,82.0,2119:14,1515:02
SCHMIDT,NATE,D,88,NATE SCHMIDT,72.0,1300:59,1158:27
TRYAMKIN,NIKITA,D,88,NIKITA TRYAMKIN,13.0,227:45,207:11
VASILEVSKIY,ANDREI,G,88,ANDREI VASILEVSKIY,,,
MCGINN,JAMIE,L,88,JAMIE MCGINN,84.0,1200:29,970:42
PASTRNAK,DAVID,R,88,DAVID PASTRNAK,51.0,712:06,671:20
KANE,PATRICK,R,88,PATRICK KANE,82.0,1673:06,1306:31
GOODROW,BARCLAY,C,89,BARCLAY GOODROW,14.0,143:47,127:32
GAGNER,SAM,C,89,SAM GAGNER,53.0,734:37,608:02
NESTEROV,NIKITA,D,89,NIKITA NESTEROV,57.0,848:42,736:41
JOHNSTON,RYAN,D,89,RYAN JOHNSTON,3.0,48:50,46:47
MCCORMICK,MAX,L,89,MAX MCCORMICK,20.0,209:10,205:30
BOEDKER,MIKKEL,L,89,MIKKEL BOEDKER,80.0,1475:49,1081:59
COPP,ANDREW,C,9,ANDREW COPP,77.0,616:15,550:03
ZUBRUS,DAINIUS,C,9,DAINIUS ZUBRUS,50.0,579:29,523:04
CAMPBELL,GREGORY,C,9,GREGORY CAMPBELL,82.0,866:26,712:04
TLUSTY,JIRI,C,9,JIRI TLUSTY,30.0,411:21,362:30
DUCHENE,MATT,C,9,MATT DUCHENE,76.0,1411:51,1103:46
KOIVU,MIKKO,C,9,MIKKO KOIVU,82.0,1636:59,1161:45
OTT,STEVE,C,9,STEVE OTT,21.0,229:17,188:33
JOHNSON,TYLER,C,9,TYLER JOHNSON,69.0,1182:37,882:25
ORLOV,DMITRY,D,9,DMITRY ORLOV,82.0,1314:09,1217:03
PRUST,BRANDON,L,9,BRANDON PRUST,35.0,447:27,415:43
KANE,EVANDER,L,9,EVANDER KANE,65.0,1367:25,1048:47
FORSBERG,FILIP,L,9,FILIP FORSBERG,82.0,1561:13,1120:18
DUPUIS,PASCAL,L,9,PASCAL DUPUIS,18.0,271:45,216:40
SPEZZA,JASON,C,90,JASON SPEZZA,75.0,1238:46,944:41
O'REILLY,RYAN,C,90,RYAN O'REILLY,71.0,1543:09,1068:09
NAMESTNIKOV,VLADISLAV,C,90,VLADISLAV NAMESTNIKOV,80.0,1128:33,939:00
JOHANSSON,MARCUS,L,90,MARCUS JOHANSSON,74.0,1231:20,967:12
CHIASSON,ALEX,R,90,ALEX CHIASSON,77.0,1048:34,827:54
MCCANN,JARED,C,91,JARED MCCANN,69.0,864:01,753:56
TAVARES,JOHN,C,91,JOHN TAVARES,78.0,1559:30,1209:05
STAMKOS,STEVEN,C,91,STEVEN STAMKOS,77.0,1519:31,1099:52
SEGUIN,TYLER,C,91,TYLER SEGUIN,72.0,1399:51,1066:12
TARASENKO,VLADIMIR,R,91,VLADIMIR TARASENKO,80.0,1490:43,1126:52
KUZNETSOV,EVGENY,C,92,EVGENY KUZNETSOV,82.0,1428:03,1159:45
RAU,KYLE,C,92,KYLE RAU,9.0,113:19,106:16
LANDESKOG,GABRIEL,L,92,GABRIEL LANDESKOG,75.0,1419:25,1028:09
FRANZEN,JOHAN,C,93,JOHAN FRANZEN,2.0,25:54,24:04
ZIBANEJAD,MIKA,C,93,MIKA ZIBANEJAD,81.0,1437:56,1022:51
NUGENT-HOPKINS,RYAN,C,93,RYAN NUGENT-HOPKINS,55.0,1048:02,795:07
BENNETT,SAM,C,93,SAM BENNETT,77.0,1164:55,970:03
YANDLE,KEITH,D,93,KEITH YANDLE,82.0,1636:53,1352:13
VORACEK,JAKUB,R,93,JAKUB VORACEK,73.0,1356:14,1002:39
RANTANEN,MIKKO,R,96,MIKKO RANTANEN,9.0,80:37,79:27
MCDAVID,CONNOR,C,97,CONNOR MCDAVID,45.0,849:42,624:55
