last,first,pos,num,comb,won,lost,dz_won,nz_won,oz_won,p1_won,p2_won,p3_won,ot_won,5v5_won,ev_won,sh_won,pp_won,dz_lost,nz_lost,oz_lost,p1_lost,p2_lost,p3_lost,ot_lost,5v5_lost,ev_lost,sh_lost,pp_lost
MILLER,COLIN,D,48,COLIN MILLER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINDBOHM,PETTERI,D,48,PETTERI LINDBOHM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MARTINOOK,JORDAN,L,48,JORDAN MARTINOOK,18.0,15.0,4.0,10.0,4.0,4.0,9.0,5.0,0.0,13.0,13.0,2.0,3.0,5.0,2.0,8.0,2.0,8.0,5.0,0.0,5.0,5.0,5.0,5.0
SHAW,LOGAN,R,48,LOGAN SHAW,16.0,21.0,1.0,5.0,10.0,2.0,9.0,5.0,0.0,14.0,15.0,1.0,0.0,3.0,5.0,13.0,6.0,7.0,8.0,0.0,15.0,15.0,5.0,1.0
SIMON,DOMINIK,C,49,DOMINIK SIMON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RASK,VICTOR,C,49,VICTOR RASK,479.0,456.0,119.0,186.0,174.0,154.0,165.0,152.0,8.0,428.0,448.0,3.0,28.0,124.0,144.0,188.0,140.0,162.0,147.0,7.0,403.0,420.0,4.0,32.0
CLAESSON,FREDRIK,D,49,FREDRIK CLAESSON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LEIGHTON,MICHAEL,G,49,MICHAEL LEIGHTON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LEIPSIC,BRENDAN,L,49,BRENDAN LEIPSIC,2.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
TANGRADI,ERIC,L,49,ERIC TANGRADI,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
