last,first,pos,num,comb,GP,TOI,TOI_5v5,corsi_for_5v5,corsi_against_5v5,corsi_5v5,corsi_for,corsi_against,corsi,fenwick_for_5v5,fenwick_against_5v5,fenwick_5v5,fenwick_for,fenwick_against,fenwick,blocks,5v5_block,g_block_5_5v5,b_block_5_5v5,g_block_10_5v5,b_block_10_5v5,g_block_5_ev,b_block_5_ev,g_block_10_ev,b_block_10_ev,g_block_5_pp,b_block_5_pp,g_block_10_pp,b_block_10_pp,g_block_5_sh,b_block_5_sh,g_block_10_sh,b_block_10_sh,hits,5v5_hits,g_hit_5_5v5,b_hit_5_5v5,g_hit_10_5v5,b_hit_10_5v5,g_hit_5_ev,b_hit_5_ev,g_hit_10_ev,b_hit_10_ev,g_hit_5_pp,b_hit_5_pp,g_hit_10_pp,b_hit_10_pp,g_hit_5_sh,b_hit_5_sh,g_hit_10_sh,b_hit_10_sh
TOEWS,JONATHAN,C,19,JONATHAN TOEWS,80.0,1538:43,1137:22,1093.0,1050.0,43.0,1573.0,1345.0,228.0,796.0,782.0,14.0,1151.0,1015.0,136.0,38.0,28.0,28.0,0.0,28.0,0.0,30.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,8.0,0.0,81.0,70.0,70.0,0.0,70.0,0.0,72.0,0.0,72.0,0.0,5.0,0.0,5.0,0.0,4.0,0.0,4.0,0.0
WEAL,JORDAN,C,19,JORDAN WEAL,14.0,131:03,117:08,91.0,104.0,-13.0,103.0,111.0,-8.0,72.0,78.0,-6.0,79.0,84.0,-5.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PETAN,NIC,C,19,NIC PETAN,26.0,305:26,252:57,220.0,226.0,-6.0,284.0,237.0,47.0,157.0,172.0,-15.0,204.0,183.0,21.0,4.0,4.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,0.0,7.0,0.0,7.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BACKSTROM,NICKLAS,C,19,NICKLAS BACKSTROM,75.0,1438:38,1065:30,1050.0,968.0,82.0,1583.0,1240.0,343.0,750.0,689.0,61.0,1158.0,885.0,273.0,50.0,41.0,41.0,0.0,41.0,0.0,44.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,0.0,51.0,45.0,45.0,0.0,45.0,0.0,49.0,0.0,49.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
JOHANSEN,RYAN,C,19,RYAN JOHANSEN,80.0,1405:01,1095:17,972.0,977.0,-5.0,1441.0,1112.0,329.0,741.0,716.0,25.0,1100.0,826.0,274.0,30.0,28.0,28.0,0.0,28.0,0.0,30.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,107.0,107.0,0.0,107.0,0.0,111.0,0.0,111.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0
ZAJAC,TRAVIS,C,19,TRAVIS ZAJAC,74.0,1467:32,992:24,718.0,863.0,-145.0,1122.0,1312.0,-190.0,542.0,642.0,-100.0,863.0,970.0,-107.0,41.0,23.0,23.0,0.0,23.0,0.0,28.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,13.0,0.0,65.0,55.0,55.0,0.0,55.0,0.0,57.0,0.0,57.0,0.0,2.0,0.0,2.0,0.0,6.0,0.0,6.0,0.0
BOUWMEESTER,JAY,D,19,JAY BOUWMEESTER,72.0,1664:13,1308:07,1183.0,1193.0,-10.0,1330.0,1714.0,-384.0,890.0,906.0,-16.0,1012.0,1308.0,-296.0,110.0,81.0,81.0,0.0,81.0,0.0,87.0,0.0,87.0,0.0,1.0,0.0,1.0,0.0,22.0,0.0,22.0,0.0,71.0,58.0,58.0,0.0,58.0,0.0,60.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,11.0,0.0
SCHULTZ,JUSTIN,D,19,JUSTIN SCHULTZ,63.0,1158:50,920:21,837.0,867.0,-30.0,1082.0,1042.0,40.0,610.0,644.0,-34.0,788.0,783.0,5.0,72.0,57.0,56.0,1.0,56.0,1.0,61.0,1.0,61.0,1.0,2.0,0.0,2.0,0.0,8.0,0.0,8.0,0.0,36.0,33.0,33.0,0.0,33.0,0.0,33.0,0.0,33.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
MAROON,PATRICK,L,19,PATRICK MAROON,72.0,888:22,767:45,734.0,713.0,21.0,961.0,743.0,218.0,553.0,542.0,11.0,716.0,565.0,151.0,10.0,10.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.0,145.0,145.0,0.0,145.0,0.0,147.0,0.0,147.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
BENNETT,BEAU,R,19,BEAU BENNETT,33.0,392:33,331:35,320.0,296.0,24.0,398.0,323.0,75.0,235.0,229.0,6.0,292.0,252.0,40.0,6.0,5.0,5.0,0.0,5.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,61.0,61.0,0.0,61.0,0.0,62.0,0.0,62.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
FAST,JESPER,R,19,JESPER FAST,79.0,1180:15,962:01,837.0,885.0,-48.0,916.0,1252.0,-336.0,618.0,640.0,-22.0,681.0,892.0,-211.0,55.0,33.0,33.0,0.0,33.0,0.0,35.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,20.0,0.0,109.0,100.0,100.0,0.0,100.0,0.0,101.0,0.0,101.0,0.0,2.0,0.0,2.0,0.0,6.0,0.0,6.0,0.0
LUPUL,JOFFREY,R,19,JOFFREY LUPUL,46.0,672:34,534:34,469.0,541.0,-72.0,739.0,591.0,148.0,364.0,425.0,-61.0,571.0,469.0,102.0,14.0,14.0,14.0,0.0,14.0,0.0,14.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,55.0,55.0,0.0,55.0,0.0,56.0,0.0,56.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
DOAN,SHANE,R,19,SHANE DOAN,72.0,1268:27,946:10,859.0,946.0,-87.0,1313.0,1103.0,210.0,641.0,723.0,-82.0,958.0,846.0,112.0,15.0,13.0,13.0,0.0,13.0,0.0,14.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,116.0,86.0,85.0,1.0,85.0,1.0,91.0,1.0,91.0,1.0,20.0,0.0,19.0,1.0,4.0,0.0,4.0,0.0
CLENDENING,ADAM,D,2,ADAM CLENDENING,29.0,429:05,391:34,364.0,388.0,-24.0,400.0,403.0,-3.0,271.0,299.0,-28.0,294.0,309.0,-15.0,34.0,30.0,30.0,0.0,29.0,1.0,33.0,0.0,32.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,19.0,19.0,19.0,0.0,19.0,0.0,19.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARDY,ADAM,D,2,ADAM PARDY,23.0,365:20,305:47,274.0,287.0,-13.0,284.0,371.0,-87.0,208.0,219.0,-11.0,218.0,276.0,-58.0,32.0,23.0,22.0,1.0,22.0,1.0,22.0,1.0,22.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0,9.0,0.0,32.0,26.0,26.0,0.0,26.0,0.0,26.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,0.0
SEKERA,ANDREJ,D,2,ANDREJ SEKERA,81.0,1766:36,1365:06,1266.0,1321.0,-55.0,1697.0,1628.0,69.0,907.0,962.0,-55.0,1229.0,1201.0,28.0,156.0,128.0,126.0,2.0,124.0,4.0,133.0,3.0,130.0,6.0,2.0,0.0,1.0,1.0,18.0,0.0,18.0,0.0,60.0,54.0,54.0,0.0,54.0,0.0,56.0,0.0,56.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0
BODNARCHUK,ANDREW,D,2,ANDREW BODNARCHUK,37.0,456:34,441:48,337.0,465.0,-128.0,345.0,486.0,-141.0,254.0,357.0,-103.0,261.0,374.0,-113.0,27.0,25.0,25.0,0.0,25.0,0.0,26.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,44.0,43.0,43.0,0.0,43.0,0.0,43.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
BITETTO,ANTHONY,D,2,ANTHONY BITETTO,28.0,339:45,333:10,275.0,328.0,-53.0,281.0,331.0,-50.0,202.0,230.0,-28.0,208.0,233.0,-25.0,41.0,41.0,40.0,1.0,40.0,1.0,40.0,1.0,40.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,61.0,60.0,1.0,60.0,1.0,61.0,1.0,61.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMITH,BRENDAN,D,2,BRENDAN SMITH,63.0,1108:55,951:09,919.0,696.0,223.0,1048.0,857.0,191.0,684.0,558.0,126.0,792.0,677.0,115.0,42.0,28.0,28.0,0.0,28.0,0.0,34.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,8.0,0.0,94.0,78.0,77.0,1.0,77.0,1.0,82.0,1.0,82.0,1.0,1.0,0.0,1.0,0.0,10.0,0.0,10.0,0.0
HAMHUIS,DAN,D,2,DAN HAMHUIS,58.0,1242:05,959:24,848.0,841.0,7.0,1027.0,1160.0,-133.0,640.0,664.0,-24.0,773.0,913.0,-140.0,72.0,47.0,45.0,2.0,45.0,2.0,47.0,2.0,47.0,2.0,0.0,0.0,0.0,0.0,23.0,0.0,23.0,0.0,64.0,51.0,51.0,0.0,51.0,0.0,53.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,11.0,0.0
PHANEUF,DION,D,2,DION PHANEUF,71.0,1584:51,1179:39,1177.0,1140.0,37.0,1670.0,1430.0,240.0,884.0,889.0,-5.0,1248.0,1108.0,140.0,89.0,65.0,63.0,2.0,63.0,2.0,72.0,2.0,72.0,2.0,3.0,0.0,3.0,0.0,12.0,0.0,12.0,0.0,168.0,147.0,147.0,0.0,147.0,0.0,154.0,0.0,154.0,0.0,2.0,0.0,2.0,0.0,12.0,0.0,12.0,0.0
KEITH,DUNCAN,D,2,DUNCAN KEITH,67.0,1690:46,1231:26,1162.0,1061.0,101.0,1592.0,1526.0,66.0,858.0,774.0,84.0,1179.0,1146.0,33.0,116.0,83.0,81.0,2.0,79.0,4.0,87.0,2.0,85.0,4.0,2.0,0.0,2.0,0.0,25.0,0.0,24.0,1.0,16.0,12.0,12.0,0.0,12.0,0.0,13.0,0.0,13.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0
