last,first,pos,num,comb,misses,dz_miss,nz_miss,oz_miss,p1_miss,p2_miss,p3_miss,ot_miss,5v5_miss,ev_miss,pp_miss,sh_miss,miss_for_oi,miss_for_oi_5v5,miss_against_oi,miss_against_oi_5v5,miss_wide,miss_over,miss_post,miss_wrist,miss_slap,miss_snap,miss_back,miss_deflect,miss_tip,miss_wrap,miss_other
PLOTNIKOV,SERGEI,L,43,SERGEI PLOTNIKOV,21.0,0.0,0.0,21.0,7.0,8.0,6.0,0.0,20.0,20.0,1.0,0.0,93.0,91.0,70.0,66.0,17.0,2.0,2.0,10.0,4.0,1.0,3.0,0.0,2.0,0.0,1.0
WILSON,TOM,R,43,TOM WILSON,40.0,0.0,0.0,40.0,17.0,12.0,11.0,0.0,39.0,40.0,0.0,0.0,153.0,145.0,222.0,170.0,32.0,2.0,6.0,21.0,6.0,7.0,1.0,0.0,5.0,0.0,0.0
NICHUSHKIN,VALERI,R,43,VALERI NICHUSHKIN,58.0,1.0,3.0,54.0,16.0,22.0,20.0,0.0,48.0,51.0,7.0,0.0,250.0,226.0,197.0,192.0,43.0,12.0,3.0,27.0,5.0,3.0,3.0,6.0,12.0,0.0,2.0
PAGEAU,JEAN-GABRIEL,C,44,JEAN-GABRIEL PAGEAU,32.0,0.0,1.0,31.0,9.0,10.0,13.0,0.0,29.0,29.0,2.0,1.0,209.0,176.0,287.0,215.0,25.0,5.0,2.0,11.0,5.0,2.0,4.0,5.0,5.0,0.0,0.0
THOMPSON,NATE,C,44,NATE THOMPSON,15.0,0.0,0.0,15.0,9.0,3.0,3.0,0.0,13.0,14.0,0.0,1.0,83.0,72.0,108.0,78.0,14.0,0.0,1.0,6.0,3.0,1.0,3.0,0.0,2.0,0.0,0.0
GRAOVAC,TYLER,C,44,TYLER GRAOVAC,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,3.0,3.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ORPIK,BROOKS,D,44,BROOKS ORPIK,14.0,0.0,0.0,14.0,7.0,5.0,2.0,0.0,14.0,14.0,0.0,0.0,137.0,130.0,167.0,126.0,14.0,0.0,0.0,7.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0
DE HAAN,CALVIN,D,44,CALVIN DE HAAN,43.0,1.0,2.0,40.0,12.0,17.0,14.0,0.0,38.0,39.0,1.0,3.0,277.0,258.0,287.0,219.0,39.0,2.0,2.0,23.0,11.0,7.0,0.0,1.0,1.0,0.0,0.0
DIETZ,DARREN,D,44,DARREN DIETZ,5.0,0.0,1.0,4.0,3.0,1.0,1.0,0.0,5.0,5.0,0.0,0.0,30.0,30.0,30.0,25.0,5.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
SEIDENBERG,DENNIS,D,44,DENNIS SEIDENBERG,23.0,0.0,2.0,21.0,8.0,8.0,7.0,0.0,21.0,22.0,1.0,0.0,170.0,157.0,271.0,215.0,22.0,1.0,0.0,9.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0
GELINAS,ERIC,D,44,ERIC GELINAS,24.0,0.0,2.0,22.0,8.0,6.0,10.0,0.0,17.0,17.0,7.0,0.0,102.0,73.0,83.0,79.0,20.0,4.0,0.0,7.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0
GUDBRANSON,ERIK,D,44,ERIK GUDBRANSON,34.0,1.0,0.0,33.0,9.0,17.0,8.0,0.0,31.0,32.0,2.0,0.0,173.0,161.0,270.0,207.0,29.0,4.0,1.0,11.0,14.0,9.0,0.0,0.0,0.0,0.0,0.0
FALK,JUSTIN,D,44,JUSTIN FALK,9.0,0.0,0.0,9.0,0.0,7.0,2.0,0.0,9.0,9.0,0.0,0.0,63.0,61.0,69.0,63.0,9.0,0.0,0.0,6.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
VLASIC,MARC-EDOUARD,D,44,MARC-EDOUARD VLASIC,74.0,3.0,1.0,70.0,21.0,22.0,27.0,4.0,51.0,59.0,12.0,3.0,314.0,237.0,269.0,190.0,59.0,11.0,4.0,34.0,27.0,12.0,0.0,0.0,1.0,0.0,0.0
BARTKOWSKI,MATT,D,44,MATT BARTKOWSKI,37.0,0.0,0.0,37.0,10.0,13.0,13.0,1.0,32.0,35.0,2.0,0.0,233.0,209.0,325.0,274.0,35.0,2.0,0.0,17.0,16.0,3.0,1.0,0.0,0.0,0.0,0.0
RIELLY,MORGAN,D,44,MORGAN RIELLY,120.0,0.0,1.0,119.0,29.0,41.0,45.0,5.0,90.0,100.0,16.0,4.0,479.0,346.0,440.0,334.0,101.0,13.0,6.0,71.0,20.0,25.0,3.0,0.0,1.0,0.0,0.0
WOOD,MILES,L,44,MILES WOOD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DESLAURIERS,NICOLAS,L,44,NICOLAS DESLAURIERS,34.0,0.0,0.0,34.0,13.0,11.0,10.0,0.0,34.0,34.0,0.0,0.0,99.0,96.0,149.0,144.0,29.0,4.0,1.0,6.0,4.0,6.0,6.0,7.0,5.0,0.0,0.0
MCGINN,TYE,L,44,TYE MCGINN,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,6.0,6.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
KASSIAN,ZACK,R,44,ZACK KASSIAN,15.0,0.0,0.0,15.0,5.0,5.0,5.0,0.0,14.0,14.0,0.0,1.0,74.0,70.0,92.0,90.0,12.0,2.0,1.0,4.0,1.0,3.0,2.0,1.0,3.0,0.0,1.0
MCFARLAND,JOHN,C,45,JOHN MCFARLAND,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,4.0,4.0,11.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
