last,first,pos,num,comb,blocks,dz_block,nz_block,oz_block,p1_block,p2_block,p3_block,ot_block,5v5_block,ev_block,sh_block,pp_block,block_for_oi,block_for_oi_5v5,shot_blocked,dz_blocked,nz_blocked,oz_blocked,p1_blocked,p2_blocked,p3_blocked,ot_blocked,5v5_blocked,ev_blocked,sh_blocked,pp_blocked,block_against_oi,block_against_oi_5v5,block_wrist,block_slap,block_snap,block_back,block_deflect,block_tip,block_wrap,block_other,blocked_wrist,blocked_slap,blocked_snap,blocked_back,blocked_deflect,blocked_tip,blocked_wrap,blocked_other,g_block_5_5v5,b_block_5_5v5,g_block_10_5v5,b_block_10_5v5,g_block_5_ev,b_block_5_ev,g_block_10_ev,b_block_10_ev,g_block_5_pp,b_block_5_pp,g_block_10_pp,b_block_10_pp,g_block_5_sh,b_block_5_sh,g_block_10_sh,b_block_10_sh
BOLL,JARED,R,40,JARED BOLL,15.0,15.0,0.0,0.0,5.0,7.0,3.0,0.0,15.0,15.0,0.0,0.0,68.0,68.0,6.0,0.0,0.0,6.0,3.0,3.0,0.0,0.0,6.0,6.0,0.0,0.0,25.0,25.0,4.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,15.0,0.0,15.0,0.0,15.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARMIA,JOEL,R,40,JOEL ARMIA,20.0,20.0,0.0,0.0,6.0,8.0,6.0,0.0,19.0,19.0,1.0,0.0,128.0,120.0,28.0,0.0,0.0,28.0,8.0,11.0,9.0,0.0,26.0,26.0,0.0,2.0,130.0,115.0,13.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,21.0,3.0,2.0,1.0,0.0,0.0,0.0,1.0,19.0,0.0,18.0,1.0,19.0,0.0,18.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
GRABNER,MICHAEL,R,40,MICHAEL GRABNER,55.0,54.0,0.0,1.0,20.0,15.0,20.0,0.0,33.0,35.0,20.0,0.0,290.0,182.0,23.0,1.0,0.0,22.0,3.0,10.0,8.0,2.0,18.0,20.0,3.0,0.0,229.0,215.0,19.0,20.0,14.0,1.0,0.0,1.0,0.0,0.0,14.0,2.0,5.0,1.0,0.0,0.0,0.0,1.0,33.0,0.0,33.0,0.0,35.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,20.0,0.0
WENNBERG,ALEXANDER,C,41,ALEXANDER WENNBERG,46.0,45.0,1.0,0.0,11.0,17.0,14.0,4.0,34.0,37.0,7.0,2.0,254.0,212.0,32.0,0.0,0.0,32.0,13.0,12.0,7.0,0.0,22.0,25.0,0.0,7.0,269.0,204.0,12.0,15.0,19.0,0.0,0.0,0.0,0.0,0.0,15.0,4.0,10.0,2.0,0.0,0.0,0.0,1.0,34.0,0.0,34.0,0.0,37.0,0.0,37.0,0.0,2.0,0.0,2.0,0.0,7.0,0.0,7.0,0.0
MCKEGG,GREG,C,41,GREG MCKEGG,6.0,6.0,0.0,0.0,1.0,1.0,4.0,0.0,6.0,6.0,0.0,0.0,24.0,23.0,5.0,0.0,0.0,5.0,4.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,18.0,18.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KEMPPAINEN,JOONAS,C,41,JOONAS KEMPPAINEN,18.0,18.0,0.0,0.0,7.0,4.0,7.0,0.0,13.0,13.0,5.0,0.0,164.0,119.0,10.0,0.0,0.0,10.0,3.0,5.0,2.0,0.0,10.0,10.0,0.0,0.0,91.0,87.0,8.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,13.0,0.0,13.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0
GLENDENING,LUKE,C,41,LUKE GLENDENING,71.0,71.0,0.0,0.0,16.0,30.0,24.0,1.0,27.0,33.0,38.0,0.0,325.0,165.0,25.0,1.0,0.0,24.0,10.0,11.0,4.0,0.0,25.0,25.0,0.0,0.0,163.0,151.0,25.0,42.0,3.0,1.0,0.0,0.0,0.0,0.0,13.0,6.0,2.0,4.0,0.0,0.0,0.0,0.0,27.0,0.0,27.0,0.0,33.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,37.0,1.0
MCNEILL,MARK,C,41,MARK MCNEILL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MUELLER,MIRCO,D,41,MIRCO MUELLER,3.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,23.0,23.0,8.0,0.0,0.0,8.0,3.0,3.0,2.0,0.0,7.0,7.0,0.0,1.0,34.0,31.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BORTUZZO,ROBERT,D,41,ROBERT BORTUZZO,42.0,42.0,0.0,0.0,20.0,17.0,5.0,0.0,38.0,38.0,4.0,0.0,115.0,103.0,19.0,0.0,0.0,19.0,9.0,6.0,4.0,0.0,19.0,19.0,0.0,0.0,103.0,99.0,34.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,38.0,0.0,38.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0
