,last,first,pos,num,GP,TOI,TOI_5v5,corsi_for_5v5/60,corsi_against_5v5/60,corsi_5v5/60,fenwick_for_5v5/60,fenwick_against_5v5/60,fenwick_5v5/60,5v5_block/60,g_block_5_5v5/60,b_block_5_5v5/60,g_block_10_5v5/60,b_block_10_5v5/60,g_block_5_ev/60,5v5_hits/60,g_hit_5_5v5/60,b_hit_5_5v5/60,g_hit_10_5v5/60,b_hit_10_5v5/60,5v5_goal/60,5v5_shot/60,5v5_give/60,5v5_take/60,b_hit_shot_5_5v5/60,5v5_give/60_scaled,b_hit_shot_5_5v5/60_scaled
623,FALK,JUSTIN,D,44,24.0,5.69027777778,5.28638888889,52.9662130209,63.559455625,-10.5932426042,39.3463296726,42.5621354632,-3.21580579055,5.8641164416,5.8641164416,0.0,5.8641164416,0.0,5.8641164416,6.4316115811,6.4316115811,0.0,6.2424465346,0.189165046503,0.0,2.83747569755,1.51332037202,0.378330093006,0.0,-0.407114804604,-0.899289614674
624,VLASIC,MARC-EDOUARD,D,44,67.0,25.8283333333,19.7941666667,54.8141287416,49.105376163,5.70875257862,40.213867722,34.3030354061,5.91083231592,4.3952342862,4.3952342862,0.0,4.3952342862,0.0,5.10251336673,2.12183724161,2.12183724161,0.0,2.12183724161,0.0,0.303119605945,3.83951500863,1.01039868648,0.454679408917,0.0,-1.19829583197,-0.899289614674
625,BARTKOWSKI,MATT,D,44,80.0,24.8255555556,21.8858333333,50.0780565815,59.2163880745,-9.13833149297,36.5990176294,48.067623653,-11.4686060237,1.55351635381,1.55351635381,0.0,1.55351635381,0.0,1.73628298367,5.89422381297,5.89422381297,0.0,5.8485321555,0.0456916574649,0.228458287324,3.5182576248,1.73628298367,0.685374861973,0.0,-0.0563568372826,-0.899289614674
626,RIELLY,MORGAN,D,44,82.0,31.7436111111,24.06,59.1853699086,59.3100581879,-0.124688279302,43.7655860349,47.2152950956,-3.44970906068,3.65752285952,3.65752285952,0.0,3.65752285952,0.0,4.28096425603,1.99501246883,1.95344970906,0.0415627597672,1.91188694929,0.0831255195345,0.166251039069,4.5719035744,2.36907730673,0.997506234414,0.0415627597672,0.939135854781,-0.287253848398
632,WIDEMAN,CHRIS,D,45,64.0,14.8802777778,13.6088888889,52.6861528413,62.5326583932,-9.84650555193,38.0633572828,45.8523840627,-7.78902677988,4.84977139125,4.77629000653,0.0734813847159,4.70280862182,0.146962769432,5.0702155454,4.04147615937,4.04147615937,0.0,4.04147615937,0.0,0.367406923579,5.21717831483,1.91051600261,0.367406923579,0.0734813847159,0.217741223897,0.182766433899
633,MORROW,JOE,D,45,33.0,8.74555555556,7.76972222222,51.2244824997,57.273604805,-6.04912230524,38.9975331593,44.2744270852,-5.27689392585,4.11855135676,4.11855135676,0.0,4.11855135676,0.0,4.24725608666,3.34632297737,3.34632297737,0.0,3.34632297737,0.0,0.128704729899,4.50466554646,0.900933109292,1.02963783919,0.0,-1.37050373295,-0.899289614674
634,BARBERIO,MARK,D,45,30.0,7.49888888889,6.72111111111,58.6212597123,50.8844437097,7.73681600265,42.2549181683,36.0059513969,6.24896677137,2.6781286163,2.52934369317,0.148784923128,2.52934369317,0.148784923128,2.52934369317,1.78541907753,1.78541907753,0.0,1.78541907753,0.0,0.297569846256,4.31476277071,2.6781286163,1.19027938502,0.148784923128,1.42532593097,1.29165475347
635,VATANEN,SAMI,D,45,71.0,25.2702777778,18.1583333333,56.1174850849,54.9609912804,1.1564938045,41.4134924277,39.6512161542,1.76227627352,4.07526388251,3.96512161542,0.110142267095,3.96512161542,0.110142267095,4.2955484167,3.96512161542,3.96512161542,0.0,3.96512161542,0.0,0.275355667737,3.74483708123,2.25791647545,1.43184947223,0.110142267095,0.764261031865,0.722619209916
636,ELLIOTT,STEFAN,D,45,21.0,4.95833333333,4.44555555556,54.2114471382,58.4853786553,-4.27393151712,38.6903274181,44.9887528118,-6.29842539365,3.824043989,3.824043989,0.0,3.824043989,0.0,3.824043989,2.69932516871,2.69932516871,0.0,2.69932516871,0.0,0.449887528118,6.74831292177,1.12471882029,0.899775056236,0.0,-1.01845089086,-0.899289614674
646,GORMLEY,BRANDON,D,46,26.0,5.27555555556,5.10972222222,48.3392226148,56.7545528676,-8.41533025279,34.8355531394,39.1410709432,-4.30551780375,3.52269638489,3.32699103017,0.195705354716,3.32699103017,0.195705354716,3.32699103017,3.52269638489,3.52269638489,0.0,3.52269638489,0.0,0.0,2.15275890188,2.34846425659,0.97852677358,0.195705354716,0.906708034194,1.98258534764
647,FRANSON,CODY,D,46,59.0,16.5566666667,13.3572222222,50.1601297675,50.3847273635,-0.224597595974,37.9569937196,37.9569937196,0.0,3.44382980493,3.36896393961,0.0748658653246,3.36896393961,0.0748658653246,3.66842740091,4.2673543235,4.19248845818,0.0748658653246,4.19248845818,0.0748658653246,0.224597595974,4.34222018883,1.87164663312,0.748658653246,0.149731730649,0.156593119578,1.30559704388
