last,first,pos,num,comb,takeaways,oz_take,nz_take,dz_take,p1_take,p2_take,p3_take,ot_take,5v5_take,ev_take,pp_take,sh_take
BIGRAS,CHRIS,D,3,CHRIS BIGRAS,4.0,0.0,0.0,4.0,1.0,1.0,2.0,0.0,4.0,4.0,0.0,0.0
STONER,CLAYTON,D,3,CLAYTON STONER,2.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0
KLINGBERG,JOHN,D,3,JOHN KLINGBERG,36.0,6.0,5.0,25.0,10.0,9.0,16.0,1.0,32.0,34.0,2.0,0.0
METHOT,MARC,D,3,MARC METHOT,10.0,1.0,1.0,8.0,5.0,2.0,3.0,0.0,9.0,9.0,0.0,1.0
PYSYK,MARK,D,3,MARK PYSYK,9.0,0.0,1.0,8.0,3.0,3.0,3.0,0.0,7.0,8.0,1.0,0.0
MAATTA,OLLI,D,3,OLLI MAATTA,8.0,0.0,0.0,8.0,0.0,4.0,3.0,1.0,6.0,7.0,0.0,1.0
GUDAS,RADKO,D,3,RADKO GUDAS,11.0,4.0,1.0,6.0,4.0,5.0,2.0,0.0,10.0,10.0,0.0,1.0
JONES,SETH,D,3,SETH JONES,25.0,2.0,6.0,17.0,13.0,8.0,4.0,0.0,23.0,23.0,1.0,1.0
KAMPFER,STEVEN,D,3,STEVEN KAMPFER,5.0,0.0,1.0,4.0,3.0,1.0,1.0,0.0,5.0,5.0,0.0,0.0
HAMONIC,TRAVIS,D,3,TRAVIS HAMONIC,44.0,5.0,5.0,34.0,16.0,8.0,19.0,1.0,32.0,37.0,2.0,5.0
DELL,AARON,G,30,AARON DELL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HAMMOND,ANDREW,G,30,ANDREW HAMMOND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BIBEAU,ANTOINE,G,30,ANTOINE BIBEAU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KHUDOBIN,ANTON,G,30,ANTON KHUDOBIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BISHOP,BEN,G,30,BEN BISHOP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
