last,first,pos,num,comb,shots,oz_shot,nz_shot,dz_shot,p1_shot,p2_shot,p3_shot,ot_shot,5v5_shot,ev_shot,pp_shot,sh_shot,shot_for_oi,shot_for_oi_5v5,shot_against_oi,shot_against_oi_5v5,shot_wrist,shot_slap,shot_snap,shot_back,shot_deflect,shot_tip,shot_wrap,shot_other
KLEFBOM,OSCAR,D,77,OSCAR KLEFBOM,44.0,41.0,3.0,0.0,12.0,20.0,11.0,1.0,31.0,34.0,10.0,0.0,283.0,217.0,305.0,209.0,14.0,18.0,8.0,2.0,1.0,0.0,0.0,1.0
GILBERT,TOM,D,77,TOM GILBERT,35.0,35.0,0.0,0.0,15.0,8.0,12.0,0.0,31.0,32.0,3.0,0.0,330.0,304.0,341.0,274.0,19.0,9.0,6.0,0.0,0.0,1.0,0.0,0.0
HEDMAN,VICTOR,D,77,VICTOR HEDMAN,172.0,158.0,9.0,5.0,47.0,60.0,61.0,4.0,123.0,137.0,28.0,7.0,892.0,667.0,751.0,538.0,83.0,74.0,9.0,5.0,1.0,0.0,0.0,0.0
OSHIE,T.J.,R,77,T.J. OSHIE,160.0,150.0,9.0,1.0,54.0,51.0,53.0,2.0,118.0,121.0,30.0,9.0,764.0,517.0,606.0,456.0,86.0,17.0,15.0,23.0,2.0,15.0,0.0,2.0
BELLEMARE,PIERRE-EDOUARD,L,78,PIERRE-EDOUARD BELLEMARE,95.0,88.0,3.0,4.0,26.0,36.0,29.0,4.0,82.0,85.0,0.0,10.0,356.0,320.0,517.0,382.0,45.0,11.0,25.0,8.0,3.0,3.0,0.0,0.0
MARKOV,ANDREI,D,79,ANDREI MARKOV,112.0,107.0,3.0,2.0,46.0,29.0,36.0,1.0,72.0,77.0,29.0,6.0,919.0,645.0,907.0,673.0,54.0,45.0,4.0,4.0,1.0,4.0,0.0,0.0
FERLAND,MICHEAL,L,79,MICHEAL FERLAND,118.0,117.0,1.0,0.0,31.0,45.0,42.0,0.0,107.0,110.0,8.0,0.0,429.0,361.0,360.0,337.0,67.0,5.0,22.0,16.0,1.0,5.0,0.0,2.0
COLBORNE,JOE,C,8,JOE COLBORNE,81.0,80.0,1.0,0.0,19.0,33.0,29.0,0.0,60.0,62.0,18.0,1.0,519.0,383.0,440.0,399.0,40.0,3.0,6.0,18.0,2.0,10.0,0.0,2.0
PAVELSKI,JOE,C,8,JOE PAVELSKI,189.0,184.0,4.0,1.0,59.0,48.0,78.0,4.0,114.0,130.0,58.0,1.0,908.0,583.0,562.0,454.0,81.0,32.0,18.0,19.0,10.0,26.0,0.0,3.0
RIEDER,TOBIAS,C,8,TOBIAS RIEDER,175.0,173.0,2.0,0.0,51.0,59.0,62.0,3.0,137.0,144.0,18.0,13.0,636.0,450.0,629.0,461.0,111.0,12.0,9.0,29.0,1.0,9.0,0.0,4.0
DUMOULIN,BRIAN,D,8,BRIAN DUMOULIN,101.0,98.0,3.0,0.0,29.0,40.0,30.0,2.0,89.0,97.0,3.0,1.0,713.0,643.0,677.0,562.0,58.0,22.0,17.0,3.0,0.0,0.0,0.0,1.0
TANEV,CHRISTOPHER,D,8,CHRISTOPHER TANEV,38.0,36.0,0.0,2.0,10.0,13.0,13.0,2.0,31.0,34.0,3.0,1.0,586.0,502.0,652.0,442.0,18.0,17.0,3.0,0.0,0.0,0.0,0.0,0.0
