,last,first,pos,num,GP,TOI,TOI_5v5,corsi_for_5v5/60,corsi_against_5v5/60,corsi_5v5/60,fenwick_for_5v5/60,fenwick_against_5v5/60,fenwick_5v5/60,5v5_block/60,g_block_5_5v5/60,b_block_5_5v5/60,g_block_10_5v5/60,b_block_10_5v5/60,g_block_5_ev/60,5v5_hits/60,g_hit_5_5v5/60,b_hit_5_5v5/60,g_hit_10_5v5/60,b_hit_10_5v5/60,5v5_goal/60,5v5_shot/60,5v5_give/60,5v5_take/60
224,GAZDIC,LUKE,L,20,29.0,2.99555555556,2.99027777778,54.509986066,60.5294937297,-6.01950766373,38.1235485369,46.1495587552,-8.0260102183,3.00975383186,3.00975383186,0.0,3.00975383186,0.0,3.00975383186,11.704598235,11.704598235,0.0,11.704598235,0.0,0.334417092429,5.6850905713,0.334417092429,0.668834184858
225,STEMPNIAK,LEE,R,20,82.0,24.4933333333,18.2027777778,48.8936365024,51.9151533649,-3.02151686251,37.0273157333,38.6754158401,-1.64810010682,1.37341675568,1.37341675568,0.0,1.37341675568,0.0,1.64810010682,5.43873035251,5.43873035251,0.0,5.43873035251,0.0,0.659240042729,5.38379368228,1.37341675568,1.31848008546
226,SALOMAKI,MIIKKA,R,20,61.0,12.2008333333,10.6325,49.9412179638,50.5995767693,-0.658358805549,37.5264519163,36.3978368211,1.12861509523,2.25723019045,2.25723019045,0.0,2.25723019045,0.0,2.35128144839,14.9541500118,14.8600987538,0.0940512579356,14.8600987538,0.0940512579356,0.282153773807,4.98471667059,1.03456383729,1.3167176111
227,SUTTER,BRANDON,C,21,20.0,5.99222222222,4.22416666667,48.2935490235,48.2935490235,0.0,38.5874926021,34.3262971,4.26119550207,1.65713158414,1.65713158414,0.0,1.65713158414,0.0,2.13059775104,2.36733083448,2.36733083448,0.0,2.36733083448,0.0,0.710199250345,6.15506016966,0.946932333794,0.473466166897
228,LAICH,BROOKS,C,21,81.0,15.4372222222,12.1305555556,53.0890771697,52.6768948935,0.412182276162,37.591023586,40.3114266087,-2.72040302267,1.31898328372,1.31898328372,0.0,1.31898328372,0.0,1.40141973895,10.3869933593,10.3869933593,0.0,10.3045569041,0.0824364552324,0.164872910465,7.33684451569,0.906801007557,2.06091138081
229,STEPAN,DEREK,C,21,72.0,21.3063888889,15.5163888889,54.5229953991,56.6497789076,-2.12678350848,40.8600225568,41.2467104674,-0.386687910632,1.74009559784,1.74009559784,0.0,1.74009559784,0.0,1.86899156806,2.06233552337,2.06233552337,0.0,2.06233552337,0.0,0.83782380637,7.79820619775,1.03116776169,2.83571134464
230,PALMIERI,KYLE,C,21,82.0,24.3333333333,18.3619444444,41.9890171399,50.5937703281,-8.60475318821,31.3692268127,37.1964963769,-5.82726956417,2.28733945509,2.28733945509,0.0,2.28733945509,0.0,2.55964177118,6.37187419633,6.37187419633,0.0,6.31741373311,0.0544604632165,0.871367411464,5.71834863773,1.14366972755,2.01503713901
231,SHORE,NICK,C,21,68.0,14.0602777778,12.3447222222,65.2100537792,41.1511892172,24.058864562,47.7937040121,30.377354245,17.4163497671,1.2150941698,1.2150941698,0.0,1.2150941698,0.0,1.2150941698,7.45257757476,7.45257757476,0.0,7.45257757476,0.0,0.24301883396,6.31848968295,0.567043945906,0.810062779865
232,BERGLUND,PATRIK,C,21,42.0,10.8372222222,9.01722222222,54.5622574087,50.902593802,3.65966360668,43.4723676915,37.8165239357,5.65584375578,1.55258456041,1.55258456041,0.0,1.55258456041,0.0,1.66348345758,4.7686525784,4.7686525784,0.0,4.7686525784,0.0,0.665393383032,6.43213603598,0.887191177377,2.21797794344
233,MATTEAU,STEFAN,C,21,32.0,5.48277777778,5.22083333333,44.0542697526,52.2905027933,-8.2362330407,33.1364724661,40.2234636872,-7.08699122107,1.34078212291,1.34078212291,0.0,1.34078212291,0.0,1.34078212291,12.4501197127,12.4501197127,0.0,12.4501197127,0.0,0.191540303272,4.02234636872,1.53232242618,0.383080606544
