last,first,pos,num,comb,goals,assists,prim_assist,sec_assist,oz_goal,nz_goal,dz_goal,p1_goal,p2_goal,p3_goal,ot_goal,5v5_goal,ev_goal,pp_goal,sh_goal,goal_for_oi,goal_for_oi_5v5,goal_against_oi,goal_against_oi_5v5,p1_assist,p2_assist,p3_assist,ot_assist,5v5_assist,ev_assist,pp_assist,sh_assist,goal_wrist,goal_slap,goal_snap,goal_back,goal_deflect,goal_tip,goal_wrap,goal_noshot,goal_other
ZOLNIERCZYK,HARRY,L,41,HARRY ZOLNIERCZYK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BYRON,PAUL,L,41,PAUL BYRON,12.0,7.0,6.0,1.0,12.0,0.0,0.0,5.0,1.0,4.0,2.0,7.0,9.0,0.0,3.0,24.0,17.0,46.0,32.0,0.0,5.0,2.0,0.0,5.0,5.0,0.0,2.0,8.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0
KENINS,RONALDS,L,41,RONALDS KENINS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPRONG,DANIEL,R,41,DANIEL SPRONG,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
SOSHNIKOV,NIKITA,R,41,NIKITA SOSHNIKOV,3.0,3.0,1.0,2.0,3.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,2.0,1.0,0.0,7.0,4.0,9.0,8.0,1.0,1.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
NORDSTROM,JOAKIM,C,42,JOAKIM NORDSTROM,10.0,14.0,8.0,6.0,10.0,0.0,0.0,1.0,5.0,4.0,0.0,9.0,9.0,0.0,1.0,35.0,28.0,41.0,32.0,4.0,7.0,3.0,0.0,14.0,14.0,0.0,0.0,1.0,2.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0
MARCHESSAULT,JONATHAN,C,42,JONATHAN MARCHESSAULT,8.0,11.0,3.0,8.0,8.0,0.0,0.0,2.0,3.0,2.0,1.0,3.0,4.0,4.0,0.0,29.0,13.0,23.0,20.0,3.0,4.0,4.0,0.0,8.0,8.0,3.0,0.0,5.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
HOWDEN,QUINTON,C,42,QUINTON HOWDEN,6.0,5.0,3.0,2.0,6.0,0.0,0.0,2.0,0.0,4.0,0.0,5.0,6.0,0.0,0.0,17.0,16.0,18.0,17.0,0.0,3.0,2.0,0.0,5.0,5.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
BOZAK,TYLER,C,42,TYLER BOZAK,13.0,23.0,12.0,11.0,13.0,0.0,0.0,2.0,5.0,5.0,1.0,7.0,10.0,3.0,0.0,50.0,27.0,45.0,33.0,6.0,10.0,7.0,0.0,13.0,16.0,7.0,0.0,6.0,0.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0
MANSON,JOSH,D,42,JOSH MANSON,5.0,10.0,3.0,7.0,5.0,0.0,0.0,1.0,1.0,3.0,0.0,4.0,5.0,0.0,0.0,47.0,40.0,44.0,33.0,2.0,6.0,2.0,0.0,10.0,10.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
